Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19
1;1;Intercept;A;;;;0.08162507;-0.046806537;-0.046997823;-0.046784232;-0.001734253;-0.032140394;-0.032259149;-0.032389234;-0.032394603;-0.032496803;-0.032489667;-0.033081897;-0.03281235;-0.033394656;-8.27955E-05;2.92362E-05;0.001717784;0.001725292;0.001714796
1;2;PRIORECOL;;C;;;-0.046806537;0.208125379;0.048375278;0.048391971;0.001753611;-0.000515137;-0.000734477;-0.000985197;-0.000697897;-0.001330497;-0.001000793;-0.000674933;-0.000800418;-0.000639713;-2.04987E-05;-7.36166E-06;-0.007731144;-0.001756896;-0.00175838
1;3;PRIORECOL;;R;;;-0.046997823;0.048375278;0.178038647;0.048518925;0.001756256;-0.000664393;-0.000580903;-0.000338514;-0.000281038;-0.001014921;-0.000541799;-0.000192621;-0.000523043;0.000414394;-2.15913E-05;-0.000156067;-0.001755323;-0.006622105;-0.001760095
1;4;PRIORECOL;;S;;;-0.046784232;0.048391971;0.048518925;0.182264724;0.001757829;-0.000829175;-0.000952951;-0.000898224;-0.000789579;-0.001318429;-0.000981294;-0.000491035;-0.000608206;-0.000404641;-2.19029E-05;-0.000106381;-0.001755494;-0.001757942;-0.006724173
1;5;Dhpcm;;;;;-0.001734253;0.001753611;0.001756256;0.001757829;6.47482E-05;-1.68938E-05;-2.30286E-05;-1.60017E-05;-2.21246E-05;-1.42967E-05;-2.35182E-05;6.45962E-06;-1.38807E-05;9.20039E-06;-4.51669E-07;9.37432E-08;-6.44435E-05;-6.45014E-05;-6.45895E-05
1;6;sum_st_ha;;;;;-0.032140394;-0.000515137;-0.000664393;-0.000829175;-1.68938E-05;0.092425015;0.049520287;0.043217077;0.044836815;0.040674724;0.039750782;0.036538592;0.03679184;0.031780738;-8.72561E-06;-0.003476597;9.95364E-06;2.56377E-05;3.26765E-05
1;7;Sdom;;;;2EST;-0.032259149;-0.000734477;-0.000580903;-0.000952951;-2.30286E-05;0.049520287;0.070562394;0.042873491;0.044458351;0.040391286;0.039542767;0.036408038;0.036688091;0.031834757;2.48278E-06;-0.003386036;2.34505E-05;2.64411E-05;4.23031E-05
1;8;Sdom;;;;2OUEST;-0.032389234;-0.000985197;-0.000338514;-0.000898224;-1.60017E-05;0.043217077;0.042873491;0.043465669;0.040080121;0.037591945;0.037045002;0.035117808;0.035276992;0.032282526;-2.62792E-06;-0.002078405;3.19223E-05;1.31423E-05;3.3345E-05
1;9;Sdom;;;;3EST;-0.032394603;-0.000697897;-0.000281038;-0.000789579;-2.21246E-05;0.044836815;0.044458351;0.040080121;0.043041091;0.038340252;0.037718845;0.035445554;0.03566391;0.032168291;6.30234E-06;-0.002412612;2.06555E-05;6.10639E-06;2.7967E-05
1;10;Sdom;;;;3OUEST;-0.032496803;-0.001330497;-0.001014921;-0.001318429;-1.42967E-05;0.040674724;0.040391286;0.037591945;0.038340252;0.038090485;0.036070189;0.034608037;0.034732185;0.032466791;5.86208E-07;-0.001530002;3.85177E-05;2.62515E-05;4.06827E-05
