SpeciesName;CA;CE;CJ_1997;CJ_2004CERF;CJ_2004;CJMSCRCERF;CJMSCR;CP;EC;ES;CP_35;CP_45;CPI_CP;CPI_RL;CRS;CJP;CJPG_QM;CPI_CP_CIMOTF;CPI_RL_CIMOTF
SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;SAB;AUT;SAB;RES;SAB;SAB
SAL;;;;;;;;;;;;;;;;;;;
SOA;;;;;;;;;;;;;;;;;;;
SOD;;;;;;;;;;;;;;;;;;;
THO;THO;THO;THO;THO;THO;THO;THO;THO;THO;THO;THO;THO;SAB;AUT;AUT;THO;RES;THO;THO
TIL;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;TIL;AUT;FEU;FEU;FEU;FEU
FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
FIN;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
FEN;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
AUT;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
F_0;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
F_1;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
F0R;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
